L1Plot,dc1,dc2,dc3,zl plot1,zl plot2,zl plot3,zl plot4
L10000,DC001,DC002,DC000,ZL0009,ZL0000,ZL0011,ZL0010
L10001,DC002,DC003,DC000,ZL0013,ZL0001,ZL0014,ZL0012
L10002,DC003,DC004,DC000,ZL0016,ZL0015,ZL0017,ZL0002
L10003,DC004,DC005,DC000,ZL0018,ZL0003,ZL0020,ZL0019
L10004,DC005,DC001,DC000,ZL0009,ZL0000,ZL0011,ZL0010
L10006,DC018,DC007,DC006,ZL0054,ZL0024,ZL0055,ZL0056
L10007,DC007,DC006,DC001,ZL0025,ZL0026,ZL0057,ZL0027
L10008,DC007,DC008,DC001,ZL0028,ZL0060,ZL0058,ZL0059
L10010,DC008,DC009,DC001,ZL0029,ZL0063,ZL0062,ZL0061
L10011,DC009,DC001,DC002,ZL0064,ZL0030,ZL0031,ZL0032
L10012,DC009,DC010,DC002,ZL0066,ZL0067,ZL0033,ZL0065
L10014,DC010,DC011,DC002,ZL0034,ZL0069,ZL0068,ZL0070
L10015,DC011,DC002,DC003,ZL0036,ZL0035,ZL0037,ZL0071
L10016,DC011,DC012,DC003,ZL0038,ZL0072,ZL0073,ZL0074
L10018,DC012,DC013,DC003,ZL0076,ZL0039,ZL0075,ZL0077
L10019,DC013,DC003,DC004,ZL0078,ZL0042,ZL0041,ZL0040
L10020,DC013,DC014,DC004,ZL0081,ZL0079,ZL0043,ZL0080
L10022,DC014,DC015,DC004,ZL0082,ZL0084,ZL0044,ZL0083
L10023,DC015,DC004,DC005,ZL0046,ZL0045,ZL0085,ZL0047
L10024,DC015,DC016,DC005,ZL0086,ZL0088,ZL0048,ZL0087
L10026,DC016,DC017,DC005,ZL0091,ZL0089,ZL0090,ZL0049
L10027,DC017,DC005,DC006,ZL0052,ZL0051,ZL0092,ZL0050
L10028,DC017,DC018,DC006,ZL0095,ZL0094,ZL0053,ZL0093
L10030,DC019,DC020,DC007,ZL0154,ZL0155,ZL0100,ZL0156
L10031,DC020,DC007,DC008,ZL0157,ZL0101,ZL0103,ZL0102
L10032,DC020,DC021,DC008,ZL0159,ZL0160,ZL0158,ZL0104
L10034,DC022,DC023,DC009,ZL0165,ZL0109,ZL0167,ZL0166
L10035,DC023,DC009,DC010,ZL0168,ZL0110,ZL0112,ZL0111
L10036,DC023,DC024,DC010,ZL0113,ZL0169,ZL0171,ZL0170
L10038,DC025,DC026,DC011,ZL0176,ZL0118,ZL0178,ZL0177
L10039,DC026,DC011,DC012,ZL0119,ZL0121,ZL0179,ZL0120
L10040,DC026,DC027,DC012,ZL0181,ZL0180,ZL0122,ZL0182
L10042,DC028,DC029,DC013,ZL0188,ZL0187,ZL0189,ZL0127
L10043,DC029,DC013,DC014,ZL0130,ZL0129,ZL0128,ZL0190
L10044,DC029,DC030,DC014,ZL0192,ZL0191,ZL0131,ZL0193
L10046,DC031,DC032,DC015,ZL0136,ZL0199,ZL0198,ZL0200
L10047,DC032,DC015,DC016,ZL0138,ZL0137,ZL0139,ZL0201
L10048,DC032,DC033,DC016,ZL0202,ZL0140,ZL0203,ZL0204
L10050,DC034,DC035,DC017,ZL0209,ZL0211,ZL0145,ZL0210
L10051,DC035,DC017,DC018,ZL0147,ZL0148,ZL0212,ZL0146
L10052,DC035,DC036,DC018,ZL0214,ZL0213,ZL0215,ZL0149
L10054,DC038,DC039,DC020,ZL0304,ZL0224,ZL0303,ZL0302
L10055,DC039,DC020,DC021,ZL0226,ZL0227,ZL0305,ZL0225
L10056,DC039,DC040,DC021,ZL0228,ZL0306,ZL0308,ZL0307
L10058,DC042,DC043,DC023,ZL0318,ZL0319,ZL0317,ZL0237
L10059,DC043,DC023,DC024,ZL0238,ZL0240,ZL0320,ZL0239
L10060,DC043,DC044,DC024,ZL0321,ZL0323,ZL0241,ZL0322
L10062,DC046,DC047,DC026,ZL0250,ZL0334,ZL0332,ZL0333
L10063,DC047,DC026,DC027,ZL0252,ZL0251,ZL0253,ZL0335
L10064,DC047,DC048,DC027,ZL0338,ZL0336,ZL0337,ZL0254
L10066,DC050,DC051,DC029,ZL0347,ZL0349,ZL0263,ZL0348
L10067,DC051,DC029,DC030,ZL0350,ZL0264,ZL0266,ZL0265
L10068,DC051,DC052,DC030,ZL0267,ZL0351,ZL0352,ZL0353
L10070,DC054,DC055,DC032,ZL0364,ZL0363,ZL0362,ZL0276
L10071,DC055,DC032,DC033,ZL0278,ZL0279,ZL0277,ZL0365
L10072,DC055,DC056,DC033,ZL0367,ZL0280,ZL0366,ZL0368
L10074,DC058,DC059,DC035,ZL0377,ZL0378,ZL0289,ZL0379
L10075,DC059,DC035,DC036,ZL0291,ZL0292,ZL0380,ZL0290
L10076,DC059,DC060,DC036,ZL0293,ZL0381,ZL0382,ZL0383
